# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	Textures\mario.png	255	255	255
10	Textures\enemies.png	0	128	128
20	Textures\tiles.png	224	163	216
30	Textures\misc.png	176	224	248
40	Textures\hud.png	255	0	255
60	Textures\mario-2.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# idle left, normal
1000	187	0	199	15	0
# idle right, normal
1001	247	0	259	15	0
# idle left, super
1010	186	154	200	181	0
# idle right, super
1011	246	154	260	181	0
# idle left, raccoon
1020	182	634	203	662	0
# idle right, raccoon
1021	243	634	264	662	0
# idle left, fire
1030	186	394	200	421	0
# idle right, fire
1031	246	394	260	421	0

# walk left, normal
1100	125	0	140	16	0
# walk right, normal
1101	306	0	321	16	0
# walk left, super
11100	155	154	171	181	0
11101	125	155	141	181	0
# walk right, super
11110	275	154	291	181	0
11111	305	155	321	181	0
# walk left, raccoon
11200	152	634	174	662	0
11201	122	634	143	661	0
# walk right, raccoon
11210	272	634	294	662	0
11211	303	634	324	661	0
# walk left, fire
11300	155	394	171	421	0
11301	125	395	141	421	0
# walk right, fire
11310	275	394	291	421	0
11311	305	395	321	421	0

# jump left, normal
1200	35	80	51	96	0
# jump right, normal
1201	395	80	411	96	0
# jump left, super
1210	35	275	51	301	0
# jump right, super
1211	395	275	411	301	0
# jump left, raccoon
1220	31	754	54	781	0
# jump right, raccoon
1221	392	754	415	781	0
# jump left, fire
1230	35	515	51	541	0
# jump right, fire
1231	395	515	411	541	0

# sprint left, normal
13000	155	0	171	16	0
13001	95	0	111	16	0
# sprint right, normal
13010	275	0	291	16	0
13011	335	0	351	16	0
# sprint left, super
13100	93	154	112	181	0
13101	65	154	84	181	0
13102	35	155	54	181	0
# sprint right, super
13110	334	154	353	181	0
13111	362	154	381	181	0
13112	392	155	411	181	0
# sprint left, raccoon
13200	91	634	115	662	0
13201	61	634	84	662	0
13202	32	634	53	661	0
# sprint right, raccoon
13210	331	634	355	662	0
13211	362	634	385	662	0
13212	393	634	414	661	0
# sprint left, fire
13300	93	394	112	421	0
13301	65	394	84	421	0
13302	35	395	54	421	0
# sprint right, fire
13310	334	394	353	421	0
13311	362	394	381	421	0
13312	392	395	411	421	0

# slide left, normal
1400	6	0	20	16	0
# slide right, normal
1401	426	0	440	16	0
# slide left, super
